query_id,TCT-ColBERTv2+t5,ance+t5,bm25+rm3+t5,bm25+t5,marqo+t5,query
query-0,0.30063051302795313,0.30063051302795313,0.4683480347412084,0.4683480347412084,0.30063051302795313,how to choose a good hairstyle for men
query-1,0.8826803184943108,0.8826803184943108,0.7653606369886217,0.7653606369886217,0.8826803184943108,how to learn a new language
query-10,0.7039180890341347,0.7039180890341347,0.7653606369886217,1.0,1.0,how to style curly hair
query-11,0.8519590445170673,0.8519590445170673,0.617319681505689,0.617319681505689,0.8519590445170673,how to write a biography for a book
query-12,0.617319681505689,0.0,0.46927872602275644,0.46927872602275644,0.8519590445170673,how to grow apples
query-13,1.0,1.0,1.0,1.0,1.0,how to grow strawberries
query-14,0.617319681505689,0.7653606369886217,0.7346393630113782,0.7346393630113782,0.6480409554829326,how to grow cherry tomatoes
query-15,0.7653606369886217,0.7653606369886217,1.0,1.0,0.7653606369886217,how to grow blueberries
query-16,0.8826803184943108,0.8826803184943108,0.8519590445170673,0.8519590445170673,0.8826803184943108,how to plant tulips
query-17,0.7653606369886217,0.7653606369886217,0.617319681505689,0.617319681505689,0.7653606369886217,how to wash a cutting board
query-18,0.6480409554829326,0.38268031849431083,0.38268031849431083,0.5865984075284455,0.38268031849431083,help me learn how to knit clothes
query-19,0.5865984075284455,0.5865984075284455,0.23463936301137822,0.23463936301137822,0.7039180890341347,how to wash a stainless steel pan
query-2,0.617319681505689,0.617319681505689,0.6480409554829326,0.6480409554829326,0.38268031849431083,how to remove food stains from a carpet
query-20,0.41340159247155434,0.41340159247155434,0.7039180890341347,0.7039180890341347,0.41340159247155434,cut tempered glass
query-21,0.617319681505689,0.7039180890341347,0.46927872602275644,0.46927872602275644,0.617319681505689,put on a bike chain
query-22,0.8322824782867448,0.8322824782867448,0.8322824782867448,0.8322824782867448,0.8322824782867448,fix a water heater
query-23,1.0,1.0,0.7039180890341347,0.46927872602275644,1.0,build a simple kite
query-24,0.617319681505689,0.617319681505689,0.617319681505689,0.617319681505689,0.617319681505689,learn how to juggle three balls
query-25,0.8519590445170673,0.8519590445170673,0.8826803184943108,0.8826803184943108,0.7653606369886217,chop an onion like a pro
query-26,0.8826803184943108,0.8826803184943108,0.8519590445170673,0.8519590445170673,0.8826803184943108,how to hand whistle
query-27,0.617319681505689,0.617319681505689,0.46927872602275644,0.46927872602275644,0.617319681505689,how to change a car tire
query-28,1.0,1.0,1.0,1.0,1.0,fix a stuck zipper
query-29,1.0,1.0,0.8826803184943108,0.5307212739772434,0.8826803184943108,paint a metal fence
query-3,0.8826803184943108,0.8826803184943108,0.8826803184943108,0.8826803184943108,0.8826803184943108,how to wash a car with less water
query-30,0.23463936301137822,0.41340159247155434,0.5307212739772434,0.5307212739772434,0.41340159247155434,create an outdoor fireplace
query-31,0.6480409554829326,0.6480409554829326,0.617319681505689,1.0,0.6480409554829326,how to remove a tree
query-32,1.0,1.0,1.0,1.0,1.0,paint nails with patterns
query-33,0.8519590445170673,0.8519590445170673,0.7346393630113782,0.7346393630113782,0.8519590445170673,make a gravel garden path
query-34,1.0,1.0,1.0,1.0,1.0,how to fix a blocked shower drain
query-35,1.0,1.0,1.0,1.0,1.0,how to teach a cat to do tricks
query-36,0.7346393630113782,0.7346393630113782,0.7346393630113782,0.7346393630113782,0.7346393630113782,how to build a hamster cage
query-37,1.0,1.0,1.0,1.0,1.0,how to run  marathon
query-38,0.8826803184943108,0.8826803184943108,1.0,1.0,0.11731968150568911,how to gain musle
query-39,0.6480409554829326,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.7653606369886217,fix a cracked phone screen
query-4,0.46927872602275644,0.23463936301137822,0.617319681505689,0.35195904451706733,1.0,how do I decorate an office
query-40,1.0,1.0,1.0,1.0,1.0,how to plan a christmas party
query-41,1.0,1.0,1.0,1.0,1.0,how to solve a rubik's cube
query-42,0.8826803184943108,0.8826803184943108,0.7346393630113782,0.7346393630113782,0.8826803184943108,learn a chess opening
query-43,0.7653606369886217,0.7653606369886217,0.8519590445170673,0.8519590445170673,1.0,how to replace a window
query-44,0.6387878864795979,0.6387878864795979,0.6387878864795979,0.6387878864795979,0.7984848580994974,how to iron a suit
query-45,0.23463936301137822,0.23463936301137822,0.23463936301137822,0.23463936301137822,0.5307212739772434,how to warm up before a run
query-46,0.7653606369886217,0.7653606369886217,0.8826803184943108,0.8826803184943108,0.7653606369886217,how to open a champagne bottle
query-47,0.8826803184943108,0.8826803184943108,0.8826803184943108,0.8826803184943108,0.8826803184943108,how to install a sprinkler system
query-48,0.2653606369886217,0.7653606369886217,0.2960819109658652,0.2960819109658652,0.5,how to change a child's diaper
query-49,1.0,0.7653606369886217,0.41340159247155434,0.5307212739772434,0.7039180890341347,how to make a bubble bath
query-5,1.0,1.0,1.0,1.0,0.8826803184943108,help me paint an interior wall
query-50,1.0,1.0,1.0,1.0,1.0,how to remove a permanent marker from a whiteboard
query-51,0.566456495657349,0.566456495657349,0.566456495657349,0.566456495657349,0.566456495657349,how to replace a toilet seat
query-52,1.0,0.7653606369886217,0.7653606369886217,0.7653606369886217,1.0,fix a leaking shower
query-53,0.617319681505689,1.0,0.8826803184943108,0.8826803184943108,0.2960819109658652,how to put up wallpaper
query-54,0.7346393630113782,0.8519590445170673,1.0,1.0,0.7346393630113782,hang a shelf
query-55,0.8519590445170673,0.8519590445170673,0.8826803184943108,0.8826803184943108,0.8519590445170673,sell my paintings on the internet
