query_id,TCT-ColBERTv2+t5,ance+t5,bm25+rm3+t5,bm25+t5,marqo+t5,query
query-0,0.6604400652351458,0.6604400652351458,0.6923268129715786,0.6923268129715786,0.6896313588958007,how to spatchcock a turkey
query-1,0.41820966162795026,0.6286140521365572,0.5035548493224855,0.4364583758343532,0.5335943191897544,I want an easy to make dessert for christmas
query-10,0.799988375845374,0.7334105174952958,0.513528549750033,0.6244738085731989,0.5261969283772618,recommend some asian street foods
query-11,1.0,0.5955988517897014,0.2345000466603374,0.05502294157452004,0.3583931942241106,dinners by batali
query-12,0.8790301722005143,0.8166098398135013,0.04257155882081049,0.05502294157452004,0.7112874991852932,traditional japanese soup
query-13,0.9363792118010483,0.30824181959979474,0.6040443739975708,0.7162874455029682,0.6984333175025896,how to make singaporean chicken lunch
query-14,0.344763665799311,0.5684829026764122,0.5145555646752153,0.5145555646752153,0.391542616092154,a romantic dinner
query-15,1.0,1.0,0.8364586133797037,0.914856882358379,0.9052116356304493,mexican fiesta recipees
query-16,0.8909917927337877,0.8983805331236496,0.8162707399704855,0.6981959364507545,0.7238738040832428,a modern icebox cake
query-17,0.8334430272969792,0.7194738964581001,0.9276737537834677,0.8309258538573215,0.7865833708043042,food for diwali
query-18,0.9334739949321357,0.8503865839942686,0.07728716978919913,0.2532188780252747,0.6399388707534638,i want a fancy eggs recipe
query-19,0.7522705587649096,0.7962923166182121,0.5431420272410783,0.8558579178890785,0.7635336032583712,how to make low fat ice cream
query-2,0.6131421754315964,0.5898863052243545,0.7312659225375666,0.7403896444314678,0.6712820573903796,any recommendations for a gluten free appetizer
query-20,0.8389757868193611,0.7750158987773937,0.6982061290399125,0.6968894114121938,0.7434772862913933,how to prepare napoletana pizza dough
query-21,0.39740202114369294,0.47427006488375206,0.6626102154754779,0.7064187721359093,0.47427006488375206,make vegetarian tikka masala
query-22,0.6003538543906136,0.5810867405518255,0.7913727083778553,0.8490628559868565,0.7098232572057268,i want to make chia pudding recipe low carb
query-23,0.9668728882728055,0.9305687780632227,1.0,0.9668728882728055,0.5275582391557787,how to make overnight oats
query-24,0.37276903778004805,0.4283395999641327,0.6662004257338394,0.5029291209477615,0.33179435478292174,can i have classic dairy free scones
query-25,0.6793264427083973,0.7070311641270214,0.81839376490378,0.7839499355488669,0.5389677659120856,how to make spiked eggnog
query-26,0.7354887789569261,0.7397898774868623,0.6836500959962095,0.6836500959962095,0.7644819225187363,how to prepare spicy oysters
query-27,0.7282773615207742,0.8593638236253246,0.5470291618818838,0.5800150637044019,0.3995688713838975,how to quickly make baby food
query-28,0.7682423902794643,0.8889850296162729,0.275011718662819,0.2995753843272222,0.39201273325068836,make lunch meal prep fast
query-29,0.7088719472397971,0.7507537242059485,0.7012579316536797,0.7012579316536797,0.6929244770161883,make vegetarian eintopf
