query_id,TCT-ColBERTv2,ance,bm25,bm25+rm3,marqo,query
query-0,0.24166666666666667,0.1473958333333333,0.2089233500417711,0.1851973684210526,0.3220486111111111,how to spatchcock a turkey
query-1,0.22318107799196482,0.1657065157065157,0.31178009389309697,0.32253636641577493,0.015873015873015872,I want an easy to make dessert for christmas
query-10,0.277715868734313,0.14540993015685216,0.037746268813801144,0.014241060265066267,0.14776324066279534,recommend some asian street foods
query-11,0.37362934372312034,0.07679192074353364,0.010087719298245614,0.021089862337001927,0.04374593892137751,dinners by batali
query-12,0.4990888701990468,0.5548502330777045,0.034482758620689655,0.0016420361247947454,0.41671690484647,traditional japanese soup
query-13,0.5481292195626696,0.03077495421245421,0.23450501763907514,0.2211912890334786,0.0,how to make singaporean chicken lunch
query-14,0.06236559139784945,0.21891725280944296,0.03858439124011983,0.03136685113664366,0.13492878089652283,a romantic dinner
query-15,0.4357189019212516,0.4252870971181685,0.2004146207827263,0.2408998187088455,0.30500570075313976,mexican fiesta recipees
query-16,0.4766231153405658,0.39110404359213874,0.2239674527273325,0.41776187088268946,0.1275669480431385,a modern icebox cake
query-17,0.4435823754789272,0.23263437950937949,0.3333333333333333,0.4075339147286822,0.3758763227513228,food for diwali
query-18,0.28886496876410644,0.17374041058129863,0.05971633085896077,0.035869565217391305,0.03955314009661836,i want a fancy eggs recipe
query-19,0.5115784427522957,0.4277629201326881,0.19252037217153778,0.13064716388672828,0.034376702626130545,how to make low fat ice cream
query-2,0.07218238185338621,0.1510123648281543,0.12404722688656204,0.09840568199146615,0.09316099661019686,any recommendations for a gluten free appetizer
query-20,0.5456754742192518,0.506638189919282,0.2513975155279503,0.318459439111613,0.4529171311780008,how to prepare napoletana pizza dough
query-21,0.39444444444444443,0.3135802469135803,0.3286523910179824,0.2351821789321789,0.28703703703703703,make vegetarian tikka masala
query-22,0.19145992604716006,0.27660770975056687,0.4572702079529667,0.4690489282626917,0.0,i want to make chia pudding recipe low carb
query-23,0.4656409853249091,0.2807067870893354,0.345249268082833,0.3707386825498746,0.1603736062649349,how to make overnight oats
query-24,0.5572066100394273,0.09038963793766325,0.45242808661926304,0.4737861811391223,0.029411764705882353,can i have classic dairy free scones
query-25,0.25614688114688117,0.2792883042883042,0.17773796252057122,0.2568846478266768,0.2696183450368971,how to make spiked eggnog
query-26,0.2706993356913045,0.03469011774932827,0.3094566698733366,0.31932068929617946,0.12548100048100047,how to prepare spicy oysters
query-27,0.38834602405655666,0.4908589419159272,0.093297847985348,0.05913180358350237,0.0,how to quickly make baby food
query-28,0.13552873414687203,0.15113083596609997,0.1530260330296198,0.15863877465879966,0.04448535580546525,make lunch meal prep fast
query-29,0.3819444444444445,0.23885336743393004,0.3271825396825397,0.3611111111111111,0.30442176870748294,make vegetarian eintopf
query-3,0.7093129985947125,0.7265907547853101,0.2634672897489695,0.2651784996108667,0.30887301587301585,how to make a green goddess salad
query-30,0.48014392153927044,0.3070898620666657,0.06875926866030775,0.08403671890042048,0.06485788113695092,how to make light muffins
query-31,0.3748334294317381,0.15204924945184686,0.46778519099947674,0.3333884297520662,0.37614672364672364,make fried halloumi bites
