query_id,TCT-ColBERTv2,ance,bm25,bm25+rm3,marqo,query
query-0,0.773468039695752,0.4104959434080106,0.32190282254058966,0.2516944353422302,0.6827250156238165,how to spatchcock a turkey
query-1,0.3378515335283742,0.6621484664716257,0.7573857224418385,0.6356211451908975,0.08479005131840403,I want an easy to make dessert for christmas
query-10,0.915209948681596,0.7035390600827187,0.13120507751234178,0.13120507751234178,0.5222030810488597,recommend some asian street foods
query-11,0.9269658250786468,0.3391602052736161,0.14606834984270645,0.16958010263680806,0.14606834984270645,dinners by batali
query-12,0.819972692711383,0.669580102636808,0.16958010263680806,0.0,0.6887676151990412,traditional japanese soup
query-13,1.0,0.14606834984270645,0.2573857224418387,0.26481735860702105,0.0,how to make singaporean chicken lunch
query-14,0.3620634786734523,0.40043850379791857,0.0,0.0,0.13863671367752411,a romantic dinner
query-15,1.0,0.7543701539552121,0.7860137352654724,0.8687949224876582,1.0,mexican fiesta recipees
query-16,0.6917831836856677,0.6386367136775242,0.2765732350040718,0.42696582507864683,0.2765732350040718,a modern icebox cake
query-17,0.915209948681596,0.6992148198508501,0.915209948681596,1.0,0.849607409925425,food for diwali
query-18,0.7573857224418385,0.7035390600827187,0.2765732350040718,0.17259567112343469,0.2870204396558808,i want a fancy eggs recipe
query-19,0.7543701539552121,1.0,0.650392590074575,0.3186640209661411,0.10699313236726378,how to make low fat ice cream
query-2,0.5531464700081437,0.49698443151337335,0.5700186064347266,0.4239502565920201,0.2987763160529316,any recommendations for a gluten free appetizer
query-20,0.934397461243829,0.915209948681596,0.5760497434079799,0.7573857224418385,0.8274043288765652,how to prepare napoletana pizza dough
query-21,0.830419897363192,0.6843515475204855,0.5531464700081437,0.3391602052736161,0.5531464700081437,make vegetarian tikka masala
query-22,0.6304013237664882,0.8622240278900382,0.6589924212291034,0.76817729587645,0.0,i want to make chia pudding recipe low carb
query-23,1.0,1.0,0.8930068676327362,1.0,0.6261806449294969,how to make overnight oats
query-24,0.934397461243829,0.3391602052736161,0.5922216874835864,0.6261806449294969,0.10699313236726378,can i have classic dairy free scones
query-25,0.8613632863224759,0.8613632863224759,0.7012236839470684,0.7883291114011227,0.5538466623591201,how to make spiked eggnog
