query_id,TCT-ColBERTv2,ance,bm25,bm25+rm3,marqo,query
query-0,0.5226037688687782,0.6766715629537892,0.46118628686097535,0.38806938992078066,0.0,how to choose a good hairstyle for men
query-1,0.6678238307628626,0.7570245596171391,0.5571599945440816,0.5596672979219262,0.807233546238253,how to learn a new language
query-10,0.8181881464655376,0.667813186625895,0.26929482166203095,0.6494016924903809,0.5658245193320782,how to style curly hair
query-11,0.4895551833353243,0.5630695255622113,0.24126191354303522,0.1802613893121468,0.40022029155261013,how to write a biography book
query-12,0.5503473659298084,0.400426135791208,0.5907842594204742,0.6158619876692331,0.1909600952387982,how to grow apples
query-13,0.8143783294332285,0.6964131293394871,0.9310555293685151,0.8872122973704308,0.7681446454464046,how to grow strawberries
query-14,0.6113049222670336,0.38446768005190024,0.41768155854917854,0.4471138534330733,0.32385311041275816,how to grow cherry tomatoes
query-15,0.7486478373882018,0.7265021223754651,0.8583926199536982,0.9246489163578978,0.8617349894941467,how to grow blueberries
query-16,0.8065543182251832,0.7989786986809969,0.8135090697000636,0.7818027636788915,0.8026305484222661,how to plant tulips
query-17,0.9232884214419976,0.6721642439583241,0.5035077734539445,0.5519078435899633,0.5746388805316925,how to wash a cutting board
query-18,0.6966881434093924,0.4375479049993946,0.6638589164388773,0.7897501766975346,0.7865189622707381,help me learn how to knit clothes
query-19,0.2536104451327652,0.3442654493354415,0.34886467662160453,0.40000515828656186,0.7000571945298332,how to wash a stainless steel pan
query-2,0.595983510512476,0.3066419640370882,0.40090410234604856,0.44961661855955093,0.35668533235361627,how to remove food stains from a carpet
query-20,0.709139545683986,0.7953497712616563,0.4730858197898606,0.4828425862530337,0.6343249703371695,cut tempered glass
query-21,0.8351340004614496,0.7226310082144178,0.5615439470339668,0.5401106819212466,0.5749588700965448,put on a bike chain
query-22,0.7459234656147574,0.7913727083778553,0.5746960710446841,0.740488873139072,0.7642345024220896,fix a water heater
query-23,0.8752351009295644,0.8738398454493624,0.6457536598263017,0.7637857870217383,0.8172944679746855,build a simple kite
query-24,0.6984604205412704,0.6307114666465594,0.6371038646608699,0.6264633906338923,0.6433574129951026,learn how to juggle three balls
query-25,0.7937279718900839,0.6798486411076597,0.5040890084480352,0.45285027148628615,0.3840075371882936,chop an onion like a pro
query-26,0.8995325186800431,0.8201835744647181,0.8073880804507728,0.8630993128788971,0.5695976328058542,how to hand whistle
query-27,0.6776667092973875,0.5481842137099847,0.5475172119407059,0.7722622265877669,0.5985996113086383,how to change a car tire
query-28,0.7696049292306621,0.4988226342604126,0.9037967054045408,0.9071605294923165,0.7722861108487444,fix a stuck zipper
query-29,0.7155848093449209,0.5692284173989246,0.592333983983731,0.6071452277448545,0.5537509468518549,paint a metal fence
query-3,0.8885112176287979,0.7212352346273836,0.6617420710351244,0.6409925022730018,0.749930241942725,how to wash a car with less water
query-30,0.6877506989189978,0.5219867912269822,0.6719045059419148,0.5860600284643891,0.7659697786787004,create an outdoor fireplace
query-31,0.6716269404326946,0.7132944461414197,0.7906417314173776,0.5789282245622048,0.6836448061422502,how to remove a tree
query-32,0.5391991344893377,0.5760419505055956,0.7456794752579927,0.9289904714111865,0.6258818077859135,paint nails with patterns
query-33,0.7049110922837509,0.7919867188462633,0.6288216433705802,0.6970526788041098,0.6643716771543944,make a gravel garden path
query-34,0.7008024665128751,0.7665376292224904,0.6028843312218555,0.8155721639306736,0.5544936882405885,how to fix a blocked shower drain
query-35,0.7171366839202002,0.7302335190129076,0.841492960259019,0.8701249883466593,0.6734171998753653,how to teach a cat to do tricks
query-36,0.6568920155743984,0.6026309115500368,0.37302690368157704,0.4216251376569373,0.3664290630521274,how to build a hamster cage
query-37,0.6279796730270981,0.45397388714178305,0.6816538528076843,0.7309456067376389,0.5173928457916201,how to run  marathon
query-38,0.36792125721353275,0.81511069719477,0.41628452663299514,0.44054247849077016,0.06943122193677727,how to gain muscle
query-39,0.49755838026650107,0.6146848231096456,0.5319250233101994,0.6089525873125095,0.6575280797149604,fix a cracked phone screen
query-4,0.7891138271925423,0.8077722060532834,0.8399567714070088,0.8309697842207061,0.5182346011049036,how do I decorate an office
