query_id,TCT-ColBERTv2,ance,bm25,bm25+rm3,marqo,query
query-0,0.26582598262939583,0.8322824782867448,0.3987389739440937,0.13291299131469791,0.0,how to choose a good hairstyle for men
query-1,0.6480409554829326,0.8826803184943108,0.5307212739772434,0.5865984075284455,1.0,how to learn a new language
query-10,1.0,0.5865984075284455,0.11731968150568911,0.7346393630113782,0.5307212739772434,how to style curly hair
query-11,0.5865984075284455,0.7346393630113782,0.0,0.0,0.5307212739772434,how to write a biography book
query-12,0.7653606369886217,0.7039180890341347,0.5307212739772434,0.41340159247155434,0.23463936301137822,how to grow apples
query-13,1.0,1.0,0.8826803184943108,0.8519590445170673,0.8519590445170673,how to grow strawberries
query-14,0.7346393630113782,0.46927872602275644,0.46927872602275644,0.46927872602275644,0.46927872602275644,how to grow cherry tomatoes
query-15,0.7653606369886217,0.8519590445170673,1.0,1.0,0.7653606369886217,how to grow blueberries
query-16,0.8826803184943108,0.7653606369886217,0.8519590445170673,0.8519590445170673,0.7653606369886217,how to plant tulips
query-17,0.8826803184943108,0.7039180890341347,0.7346393630113782,0.7346393630113782,0.46927872602275644,how to wash a cutting board
query-18,0.7346393630113782,0.46927872602275644,0.7653606369886217,1.0,0.8826803184943108,help me learn how to knit clothes
query-19,0.0,0.23463936301137822,0.23463936301137822,0.23463936301137822,0.8519590445170673,how to wash a stainless steel pan
query-2,0.7653606369886217,0.0,0.38268031849431083,0.38268031849431083,0.2653606369886217,how to remove food stains from a carpet
query-20,0.7039180890341347,0.8826803184943108,0.5865984075284455,0.7039180890341347,0.617319681505689,cut tempered glass
query-21,0.7653606369886217,0.7653606369886217,0.38268031849431083,0.38268031849431083,0.5865984075284455,put on a bike chain
query-22,0.8322824782867448,0.8322824782867448,0.6993694869720469,0.6993694869720469,0.6012610260559063,fix a water heater
query-23,1.0,1.0,0.5865984075284455,0.8826803184943108,0.8826803184943108,build a simple kite
query-24,0.7346393630113782,0.46927872602275644,0.617319681505689,0.5,0.617319681505689,learn how to juggle three balls
query-25,0.8519590445170673,0.7653606369886217,0.8519590445170673,0.7653606369886217,0.11731968150568911,chop an onion like a pro
query-26,1.0,0.8519590445170673,1.0,0.8519590445170673,0.5307212739772434,how to hand whistle
query-27,0.7346393630113782,0.7346393630113782,0.5865984075284455,0.8826803184943108,0.617319681505689,how to change a car tire
query-28,0.8519590445170673,0.46927872602275644,1.0,1.0,1.0,fix a stuck zipper
query-29,0.5865984075284455,0.38268031849431083,0.8826803184943108,0.8826803184943108,0.8826803184943108,paint a metal fence
query-3,0.8826803184943108,0.8826803184943108,0.7653606369886217,0.8519590445170673,0.7653606369886217,how to wash a car with less water
query-30,1.0,0.7653606369886217,1.0,0.7653606369886217,0.8826803184943108,create an outdoor fireplace
query-31,0.7039180890341347,1.0,0.8826803184943108,0.5,0.8826803184943108,how to remove a tree
query-32,0.5,1.0,1.0,1.0,0.5,paint nails with patterns
