query_id,Steps,Steps-Title,Tags-Steps,Tags-Steps-Title,Title,Title-Tags,query
query-0,0.08097408658478232,0.6911605880978292,0.36715796442765924,0.6911605880978292,0.7954478411394115,0.7954478411394115,how to choose a good hairstyle for men
query-1,0.299035422886583,0.8728628648948463,0.299035422886583,0.8728628648948463,0.8041511118844554,0.8041511118844554,how to learn a new language
query-10,0.48331483694589444,0.7910668943252532,0.48331483694589444,0.7910668943252532,0.7910668943252532,0.7910668943252532,how to style curly hair
query-11,0.17897489594999488,0.6468095671747341,0.17897489594999488,0.6468095671747341,0.6490863182975937,0.6490863182975937,how to write a biography book
query-12,0.10327064981393906,0.5772316195921658,0.10327064981393906,0.5772316195921658,0.5807553763233427,0.5807553763233427,how to grow apples
query-13,0.5820160333754989,0.8315948240471682,0.5820160333754989,0.8315948240471682,0.8002672701752575,0.8002672701752575,how to grow strawberries
query-14,0.05013355137207787,0.6033849449393336,0.05013355137207787,0.6033849449393336,0.6461003047777114,0.6461003047777114,how to grow cherry tomatoes
query-15,0.8082478578558541,0.6635881955117138,0.8082478578558541,0.6635881955117138,0.6635881955117138,0.6635881955117138,how to grow blueberries
query-16,0.6507462525161556,0.8216563847318894,0.6507462525161556,0.8216563847318894,0.7694745147571679,0.7694745147571679,how to plant tulips
query-17,0.555579185708691,0.7034644603130892,0.555579185708691,0.7034644603130892,0.5665046947195829,0.5665046947195829,how to wash a cutting board
query-18,0.36637317100856215,0.567375515233023,0.36637317100856215,0.567375515233023,0.581780885899306,0.581780885899306,help me learn how to knit clothes
query-19,0.4592647145931825,0.4664059877731223,0.4592647145931825,0.4664059877731223,0.4295741178158551,0.4295741178158551,how to wash a stainless steel pan
query-2,0.34460267917488085,0.6514373321612693,0.2839881095357388,0.6514373321612693,0.6514373321612693,0.6514373321612693,how to remove food stains from a carpet
query-20,0.5484660599365603,0.7763984946448258,0.5484660599365603,0.7763984946448258,0.7763984946448258,0.7763984946448258,cut tempered glass
query-21,0.323408093520239,0.6810879696866377,0.323408093520239,0.6810879696866377,0.8376237768032079,0.8376237768032079,put on a bike chain
query-22,0.5443570534659371,0.7933105479575309,0.5443570534659371,0.7933105479575309,0.7933105479575309,0.7933105479575309,fix a water heater
query-23,0.5012248923924788,0.7624352844743896,0.5891005758675122,0.8104403279533317,0.8456179850114997,0.8684366475083741,build a simple kite
query-24,0.6175229868476839,0.6360398765260139,0.6175229868476839,0.6360398765260139,0.7710136105894675,0.7710136105894675,learn how to juggle three balls
query-25,0.3900840881440754,0.5115192206423042,0.3900840881440754,0.5115192206423042,0.8962372627128649,0.8962372627128649,chop an onion like a pro
query-26,0.13098590574145738,0.8183523492984883,0.13098590574145738,0.8183523492984883,0.8630993128788971,0.8630993128788971,how to hand whistle
query-27,0.4603222330185785,0.6304048913942966,0.4603222330185785,0.6304048913942966,0.5905519797134816,0.5905519797134816,how to change a car tire
query-28,0.30885745836727097,0.8942681856673473,0.30885745836727097,0.8942681856673473,0.8942681856673473,0.8942681856673473,fix a stuck zipper
query-29,0.3511643449202447,0.43355551538456594,0.3511643449202447,0.43355551538456594,0.47373560802489,0.47373560802489,paint a metal fence
query-3,0.6476315354565384,0.7370167443484575,0.6476315354565384,0.7370167443484575,0.7827432448548312,0.7827432448548312,how to wash a car with less water
query-30,0.5696803636036888,0.6756577691776796,0.3324233672214581,0.6756577691776796,0.6756577691776796,0.6756577691776796,create an outdoor fireplace
query-31,0.40997296066322797,0.8306739246636107,0.40997296066322797,0.8306739246636107,0.8714039309448759,0.8714039309448759,how to remove a tree
query-32,0.32486858659491724,0.48766052862662906,0.48422513650105686,0.5873136454216881,0.6372739446323603,0.6878838762966054,paint nails with patterns
query-33,0.40366412154264814,0.719816980490554,0.3101206941983946,0.6058192540454747,0.8078425197009236,0.6018709432457179,make a gravel garden path
