query_id,Requirements,Steps,Steps-Requirements,Title,Title-Requirements,Title-Steps,Title-Steps-Requirements,query
query-0,0.07816091954022988,0.1479885057471264,0.1479885057471264,0.21738785639647706,0.22724935973506735,0.26125789918893366,0.26125789918893366,how to spatchcock a turkey
query-1,0.0,0.08695652173913043,0.08695652173913043,0.25347626270498613,0.25347626270498613,0.31179503374272927,0.31179503374272927,I want an easy to make dessert for christmas
query-10,0.06339285714285714,0.06725908326717414,0.06725908326717414,0.08418367346938775,0.08418367346938775,0.12537827475903512,0.12537827475903512,recommend some asian street foods
query-11,0.0,0.04260453772343634,0.04260453772343634,0.021367521367521364,0.021367521367521364,0.024114774114774112,0.024114774114774112,dinners by batali
query-12,0.05555555555555555,0.05829124579124578,0.09232804232804233,0.5720719766953887,0.5720719766953887,0.5720719766953887,0.5720719766953887,traditional japanese soup
query-13,0.0101010101010101,0.0006447453255963894,0.0006447453255963894,0.34335183396588526,0.35251134625352404,0.2551034538937765,0.2551034538937765,how to make singaporean chicken lunch
query-14,0.006756756756756757,0.019533169533169532,0.019533169533169532,0.05163250800428852,0.05163250800428852,0.04683146241174858,0.04683146241174858,a romantic dinner
query-15,0.04358974358974359,0.03155818540433925,0.06134326200115673,0.25588340902646683,0.25588340902646683,0.25016954430233534,0.25016954430233534,mexican fiesta recipees
query-16,0.004347826086956522,0.0005434782608695652,0.0005434782608695652,0.37233750090637885,0.37233750090637885,0.37233750090637885,0.37233750090637885,a modern icebox cake
query-17,0.013888888888888888,0.1388888888888889,0.1388888888888889,0.1574074074074074,0.1574074074074074,0.26962331649831645,0.26962331649831645,food for diwali
query-18,0.0,0.01818181818181818,0.01818181818181818,0.10329040404040404,0.10329040404040404,0.10926121240246474,0.10926121240246474,i want a fancy eggs recipe
query-19,0.011175898931000973,0.06663374577445469,0.06693947874072097,0.22797881390318364,0.215320110728274,0.24307807016701793,0.23607396116022655,how to make low fat ice cream
query-2,0.02018429135585783,0.05125786163522013,0.05962863132674453,0.07351673733890798,0.07027289717429328,0.07978083965067662,0.07633171797988667,any recommendations for a gluten free appetizer
query-20,0.0064516129032258064,0.061827956989247305,0.061827956989247305,0.141439205955335,0.14888337468982632,0.21178955453148998,0.21178955453148998,how to prepare napoletana pizza dough
query-21,0.018181818181818184,0.08181818181818182,0.08181818181818182,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,make vegetarian tikka masala
query-22,0.0,0.12056277056277057,0.1196969696969697,0.19563032340929834,0.19563032340929834,0.19563410042912838,0.19563410042912838,i want to make chia pudding recipe low carb
query-23,0.0,0.025042414128772075,0.025042414128772075,0.4487872466393437,0.41188233358800763,0.13359533468559837,0.13359533468559837,how to make overnight oats
query-24,0.13095238095238096,0.001984126984126984,0.008571428571428572,0.11284162787922188,0.11284162787922188,0.11284162787922188,0.11284162787922188,can i have classic dairy free scones
query-25,0.0,0.012195121951219513,0.008465608465608464,0.19752309075322488,0.19717035706715788,0.20709420761424172,0.20636835205462656,how to make spiked eggnog
query-26,0.12614918912995834,0.07748137190444883,0.07748137190444883,0.21687123949782203,0.2664496966741549,0.09658882783882783,0.09658882783882783,how to prepare spicy oysters
query-27,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.1670294784580499,0.05282460810411121,0.008,0.008,how to quickly make baby food
